Index,Year,Location,Location Code,Sex,Age,Value
1,1990,WORLD,900,Both,0,4940094
2,1990,WORLD,900,Both,5,6508813
3,1990,WORLD,900,Both,10,7870896
4,1990,WORLD,900,Both,15,9631753
5,1990,WORLD,900,Both,20,12447939
6,1990,WORLD,900,Both,25,14996038
7,1990,WORLD,900,Both,30,15537248
8,1990,WORLD,900,Both,35,14656263
9,1990,WORLD,900,Both,40,13139765
10,1990,WORLD,900,Both,45,10892546
11,1990,WORLD,900,Both,50,9060619
12,1990,WORLD,900,Both,55,7835999
13,1990,WORLD,900,Both,60,6984570
14,1990,WORLD,900,Both,65,5513803
15,1990,WORLD,900,Both,70,4530472
16,1990,WORLD,900,Both,75,8439339
17,1990,WORLD,900,Male,0,2476298
18,1990,WORLD,900,Male,5,3284970
19,1990,WORLD,900,Male,10,4000045
20,1990,WORLD,900,Male,15,4924353
21,1990,WORLD,900,Male,20,6434147
22,1990,WORLD,900,Male,25,7942542
23,1990,WORLD,900,Male,30,8293968
24,1990,WORLD,900,Male,35,7789458
25,1990,WORLD,900,Male,40,6922877
26,1990,WORLD,900,Male,45,5678707
27,1990,WORLD,900,Male,50,4632035
28,1990,WORLD,900,Male,55,3857470
29,1990,WORLD,900,Male,60,3293280
30,1990,WORLD,900,Male,65,2540798
31,1990,WORLD,900,Male,70,1981709
32,1990,WORLD,900,Male,75,3510810
33,1990,WORLD,900,Female,0,2463796
34,1990,WORLD,900,Female,5,3223843
35,1990,WORLD,900,Female,10,3870851
36,1990,WORLD,900,Female,15,4707400
37,1990,WORLD,900,Female,20,6013792
38,1990,WORLD,900,Female,25,7053496
39,1990,WORLD,900,Female,30,7243280
40,1990,WORLD,900,Female,35,6866805
41,1990,WORLD,900,Female,40,6216888
42,1990,WORLD,900,Female,45,5213839
43,1990,WORLD,900,Female,50,4428584
44,1990,WORLD,900,Female,55,3978529
45,1990,WORLD,900,Female,60,3691290
46,1990,WORLD,900,Female,65,2973005
47,1990,WORLD,900,Female,70,2548763
48,1990,WORLD,900,Female,75,4928529
49,1995,WORLD,900,Both,0,4683966
50,1995,WORLD,900,Both,5,6256492
51,1995,WORLD,900,Both,10,7690520
52,1995,WORLD,900,Both,15,9453166
53,1995,WORLD,900,Both,20,12647768
54,1995,WORLD,900,Both,25,15537757
55,1995,WORLD,900,Both,30,16628877
56,1995,WORLD,900,Both,35,16027056
57,1995,WORLD,900,Both,40,14336636
58,1995,WORLD,900,Both,45,12305048
59,1995,WORLD,900,Both,50,10218192
60,1995,WORLD,900,Both,55,8564677
61,1995,WORLD,900,Both,60,7337114
62,1995,WORLD,900,Both,65,5815127
63,1995,WORLD,900,Both,70,5077938
64,1995,WORLD,900,Both,75,8709642
65,1995,WORLD,900,Male,0,2354445
66,1995,WORLD,900,Male,5,3153537
67,1995,WORLD,900,Male,10,3887731
68,1995,WORLD,900,Male,15,4801711
69,1995,WORLD,900,Male,20,6475181
